# file...... ../results/IEEE_123_feeder_0_meter_current.csv
# date...... Mon Nov 18 19:46:57 2024
# user...... ubuntu
# host...... (null)
# target.... meter 189
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_current_A,measured_current_B,measured_current_C
2013-08-28 00:00:00 PST,+257.163-124.134j,-212.214-110.999j,-15.7992+239.968j
2013-08-28 00:01:00 PST,+256.253-123.641j,-211.915-110.66j,-15.6628+239.031j
2013-08-28 00:02:00 PST,+264.874-127.388j,-215.03-113.861j,-17.2234+247.303j
2013-08-28 00:03:00 PST,+262.928-126.371j,-213.634-113.069j,-17.0903+245.434j
2013-08-28 00:04:00 PST,+260.021-124.982j,-211.59-111.849j,-16.8403+242.722j
2013-08-28 00:05:00 PST,+258.078-123.972j,-210.2-111.058j,-16.704+240.856j
2013-08-28 00:06:00 PST,+253.041-121.956j,-207.238-108.939j,-16.0173+236.416j
2013-08-28 00:07:00 PST,+249.095-120.36j,-204.945-107.266j,-15.4538+232.863j
2013-08-28 00:08:00 PST,+245.298-118.85j,-202.063-105.169j,-14.8475+228.608j
2013-08-28 00:09:00 PST,+243.95-118.452j,-201.446-104.571j,-14.5582+227.46j
2013-08-28 00:10:00 PST,+243.348-118.366j,-201.432-104.359j,-14.3553+227.027j
2013-08-28 00:11:00 PST,+244.127-118.602j,-201.766-104.685j,-14.5128+227.663j
2013-08-28 00:12:00 PST,+244.953-118.754j,-202.783-105.408j,-14.5617+227.525j
2013-08-28 00:13:00 PST,+245.74-118.986j,-203.125-105.74j,-14.7195+228.154j
2013-08-28 00:14:00 PST,+246.488-119.296j,-202.786-105.675j,-14.99+229.561j
2013-08-28 00:15:00 PST,+247.274-119.528j,-203.126-106.004j,-15.1493+230.194j
2013-08-28 00:16:00 PST,+246.886-119.316j,-203.626-106.224j,-14.9525+229.064j
2013-08-28 00:17:00 PST,+246.453-119.188j,-203.437-106.042j,-14.8648+228.717j
2013-08-28 00:18:00 PST,+245.979-119.14j,-202.568-105.462j,-14.8879+229.144j
2013-08-28 00:19:00 PST,+245.545-119.012j,-202.38-105.28j,-14.8007+228.795j
2013-08-28 00:20:00 PST,+245.12-118.822j,-202.837-105.517j,-14.6831+228.429j
2013-08-28 00:21:00 PST,+244.5-118.616j,-202.587-105.218j,-14.4709+227.155j
2013-08-28 00:22:00 PST,+243.822-118.482j,-201.655-104.52j,-14.3648+226.637j
