# file...... ../results/IEEE_123_feeder_0_swing_node.csv
# date...... Mon Nov 18 19:46:57 2024
# user...... ubuntu
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.62148e+06+861563j
2013-08-28 00:01:00 PST,+136593+0j,+1.59964e+06+850562j
2013-08-28 00:02:00 PST,+143009+0j,+1.72678e+06+909502j
2013-08-28 00:03:00 PST,+143009+0j,+1.7143e+06+902906j
2013-08-28 00:04:00 PST,+143009+0j,+1.69574e+06+893726j
2013-08-28 00:05:00 PST,+143009+0j,+1.68328e+06+887172j
2013-08-28 00:06:00 PST,+142973+0j,+1.65164e+06+874141j
2013-08-28 00:07:00 PST,+142973+0j,+1.62701e+06+864103j
2013-08-28 00:08:00 PST,+142973+0j,+1.59953e+06+852757j
2013-08-28 00:09:00 PST,+142973+0j,+1.59129e+06+850378j
2013-08-28 00:10:00 PST,+142973+0j,+1.58813e+06+850294j
2013-08-28 00:11:00 PST,+143028+0j,+1.59336e+06+851972j
2013-08-28 00:12:00 PST,+143028+0j,+1.598e+06+853368j
2013-08-28 00:13:00 PST,+143028+0j,+1.60266e+06+854713j
2013-08-28 00:14:00 PST,+143028+0j,+1.60732e+06+856000j
2013-08-28 00:15:00 PST,+143028+0j,+1.61198e+06+857347j
2013-08-28 00:16:00 PST,+142984+0j,+1.60894e+06+856379j
2013-08-28 00:17:00 PST,+142984+0j,+1.60637e+06+855637j
2013-08-28 00:18:00 PST,+142984+0j,+1.60381e+06+854846j
2013-08-28 00:19:00 PST,+142984+0j,+1.60124e+06+854104j
2013-08-28 00:20:00 PST,+142984+0j,+1.60033e+06+854120j
2013-08-28 00:21:00 PST,+142989+0j,+1.59488e+06+852341j
2013-08-28 00:22:00 PST,+142989+0j,+1.58928e+06+850451j
2013-08-28 00:23:00 PST,+142989+0j,+1.58698e+06+850014j
2013-08-28 00:24:00 PST,+142989+0j,+1.58467e+06+849623j
2013-08-28 00:25:00 PST,+142989+0j,+1.57907e+06+847792j
2013-08-28 00:26:00 PST,+143002+0j,+1.57991e+06+847798j
2013-08-28 00:27:00 PST,+143002+0j,+1.58425e+06+849271j
2013-08-28 00:28:00 PST,+143002+0j,+1.5886e+06+850798j
2013-08-28 00:29:00 PST,+143002+0j,+1.58966e+06+850880j
2013-08-28 00:30:00 PST,+143002+0j,+1.59071e+06+850907j
2013-08-28 00:31:00 PST,+142957+0j,+1.59073e+06+850989j
2013-08-28 00:32:00 PST,+142957+0j,+1.59118e+06+851396j
2013-08-28 00:33:00 PST,+142957+0j,+1.58998e+06+851049j
2013-08-28 00:34:00 PST,+142957+0j,+1.58549e+06+849259j
2013-08-28 00:35:00 PST,+142957+0j,+1.5843e+06+848916j
2013-08-28 00:36:00 PST,+142960+0j,+1.58766e+06+850391j
2013-08-28 00:37:00 PST,+142960+0j,+1.58781e+06+850435j
2013-08-28 00:38:00 PST,+142960+0j,+1.58468e+06+849034j
2013-08-28 00:39:00 PST,+142960+0j,+1.58484e+06+849080j
2013-08-28 00:40:00 PST,+142960+0j,+1.58828e+06+850570j
2013-08-28 00:41:00 PST,+142961+0j,+1.58178e+06+848697j
2013-08-28 00:42:00 PST,+142961+0j,+1.57116e+06+845150j
2013-08-28 00:43:00 PST,+142961+0j,+1.56382e+06+843035j
2013-08-28 00:44:00 PST,+142961+0j,+1.55966e+06+842347j
2013-08-28 00:45:00 PST,+142961+0j,+1.55229e+06+840224j
2013-08-28 00:46:00 PST,+142958+0j,+1.54864e+06+838672j
2013-08-28 00:47:00 PST,+142958+0j,+1.54728e+06+837969j
2013-08-28 00:48:00 PST,+142958+0j,+1.55102e+06+839543j
2013-08-28 00:49:00 PST,+142958+0j,+1.55352e+06+840574j
2013-08-28 00:50:00 PST,+142958+0j,+1.55092e+06+839326j
2013-08-28 00:51:00 PST,+142962+0j,+1.55159e+06+839536j
2013-08-28 00:52:00 PST,+142962+0j,+1.55538e+06+841122j
2013-08-28 00:53:00 PST,+142962+0j,+1.55407e+06+840428j
2013-08-28 00:54:00 PST,+142962+0j,+1.55149e+06+839189j
2013-08-28 00:55:00 PST,+142962+0j,+1.55403e+06+840235j
2013-08-28 00:56:00 PST,+142964+0j,+1.55772e+06+841800j
2013-08-28 00:57:00 PST,+142964+0j,+1.55818e+06+841930j
2013-08-28 00:58:00 PST,+142964+0j,+1.55351e+06+839774j
2013-08-28 00:59:00 PST,+142964+0j,+1.55397e+06+839906j
